state_data.timeStamp_state,has_state_data,state_data.state_x,state_data.state_vx,state_data.state_ax,state_data.state_apo
197013511,1,4601.61,111.13,-10.2302,5218.84
197018728,1,4606.18,110.338,-10.2275,5215.12
197023976,1,4610.65,109.542,-10.2104,5211.38
197029164,1,4614.98,108.76899999999999,-10.1575,5207.52
197034594,1,4619.58,107.963,-10.1857,5203.93
197039627,1,4623.71,107.209,-10.1886,5200.29
197046158,1,4629.37,106.257,-10.2072,5196.7
197051389,1,4633.57,105.443,-10.1914,5192.61
197056605,1,4637.69,104.62899999999999,-10.1895,5188.72
197061822,1,4641.81,103.831,-10.1722,5184.71
197067041,1,4645.85,103.029,-10.2722,5180.87
197072283,1,4649.83,102.228,-10.2836,5176.9
197077475,1,4653.67,101.447,-10.251,5173.13
197084484,1,4659.39,100.404,-10.2309,5169.39
197089485,1,4663.1,99.5946,-10.2111,5164.96
197094486,1,4666.72,98.787,-10.2086,5160.79
197099696,1,4670.51,97.9736,-10.1065,5156.87
197104944,1,4674.26,97.1695,-10.0949,5152.97
197110132,1,4677.88,96.3865,-10.0935,5149.11
197115350,1,4681.57,95.6027,-10.0763,5145.31
197120566,1,4685.19,94.8228,-10.0405,5141.91
197127120,1,4690.0,93.8755,-10.0025,5138.36
197132372,1,4693.51,93.064,-9.99841,5134.45
197137564,1,4696.89,92.2731,-9.96381,5130.66
197143228,1,4700.68,91.4276,-9.97712,5126.97
197148230,1,4703.87,90.6525,-9.97829,5123.2
197153231,1,4707.01,89.8873,-9.94454,5119.45
197158420,1,4710.2,89.1211,-9.92367,5115.94
197165421,1,4714.9,88.10600000000001,-9.92252,5112.48
197170422,1,4717.89,87.2973,-9.92147,5108.38
197175423,1,4720.83,86.4995,-9.93795,5104.35
197180624,1,4723.82,85.70200000000001,-9.88907,5100.63
197185872,1,4726.83,84.8992,-9.91745,5096.92
197191060,1,4729.73,84.1162,-9.92062,5093.18
197196277,1,4732.68,83.3329,-9.85312,5089.49
197201494,1,4735.6,82.5614,-9.8454,5086.13
197208039,1,4739.55,81.6207,-9.862680000000001,5082.79
197213291,1,4742.36,80.813,-9.81282,5079.08
197218484,1,4745.04,80.0244,-9.756110000000001,5075.32
197223700,1,4747.77,79.2394,-9.715539999999999,5071.92
197228919,1,4750.46,78.4594,-9.778839999999999,5068.48
197234161,1,4753.11,77.6847,-9.80302,5065.03
197239354,1,4755.68,76.934,-9.77177,5061.59
197246361,1,4759.59,75.9145,-9.76952,5058.6
197251560,1,4762.01,75.0971,-9.73445,5054.77
197256561,1,4764.32,74.3014,-9.78077,5050.99
197261562,1,4766.6,73.5195,-9.7523,5047.49
197266805,1,4768.95,72.7208,-9.749089999999999,5044.05
197271992,1,4771.21,71.9448,-9.73173,5040.57
197277211,1,4773.51,71.166,-9.7637,5037.15
197282427,1,4775.77,70.39399999999999,-9.76735,5034.0
197288964,1,4778.87,69.4493,-9.71674,5030.83
197294218,1,4781.02,68.6408,-9.762319999999999,5027.28
197299410,1,4783.07,67.8549,-9.71636,5023.74
197304626,1,4785.12,67.0636,-9.67714,5020.59
197309844,1,4787.16,66.28399999999999,-9.72354,5017.29
197315087,1,4789.15,65.5071,-9.72887,5014.07
197320279,1,4791.04,64.7512,-9.69551,5010.8
197327287,1,4794.1,63.7374,-9.69289,5007.93
197332288,1,4795.82,62.9334,-9.67474,5004.43
197337289,1,4797.53,62.1465,-9.63844,5000.95
197342477,1,4799.23,61.3558,-9.66808,4997.78
197347724,1,4800.98,60.5653,-9.67154,4994.59
197352912,1,4802.63,59.79600000000001,-9.65493,4991.45
197358130,1,4804.3,59.0229,-9.67003,4988.33
197363721,1,4806.11,58.2205,-9.65488,4985.47
197369875,1,4808.21,57.3358,-9.636460000000001,4982.55
197375127,1,4809.75,56.5483,-9.65115,4979.42
197380320,1,4811.21,55.7813,-9.65259,4976.31
197385537,1,4812.67,55.0115,-9.60186,4973.55
197390755,1,4814.13,54.2531,-9.62998,4970.7
197395998,1,4815.54,53.4997,-9.61622,4967.89
197401190,1,4816.87,52.7648,-9.63153,4965.07
197408196,1,4819.14,51.7728,-9.6521,4962.59
197413197,1,4820.31,50.9864,-9.63604,4959.57
197418198,1,4821.45,50.2169,-9.58308,4956.54
197423377,1,4822.6,49.4469,-9.59378,4953.77
197428625,1,4823.76,48.6734,-9.595089999999999,4951.04
197433812,1,4824.83,47.916000000000004,-9.6291,4948.3
197439031,1,4825.92,47.1584,-9.582130000000001,4945.55
197444246,1,4826.97,46.4078,-9.61073,4943.02
197450766,1,4828.58,45.4922,-9.56292,4940.52
197456019,1,4829.54,44.7106,-9.54089,4937.77
197461213,1,4830.42,43.9467,-9.58896,4935.02
197466428,1,4831.31,43.1807,-9.577539999999999,4932.54
197472089,1,4832.32,42.372,-9.55938,4930.01
197477090,1,4833.05,41.6325,-9.57408,4927.42
197482091,1,4833.74,40.9028,-9.60952,4924.84
197489088,1,4835.17,39.9307,-9.54536,4922.58
197494089,1,4835.77,39.1556,-9.50501,4919.95
197499090,1,4836.33,38.3896,-9.53383,4917.33
197504259,1,4836.9,37.625,-9.55413,4914.84
197509507,1,4837.48,36.8586,-9.52258,4912.46
197514695,1,4837.98,36.1127,-9.518939999999999,4910.06
197519914,1,4838.5,35.3636,-9.53552,4907.68
197525129,1,4838.98,34.623000000000005,-9.50345,4905.46
197531642,1,4839.86,33.7205,-9.50052,4903.29
197536893,1,4840.26,32.9495,-9.51667,4900.94
197542087,1,4840.59,32.1974,-9.518239999999999,4898.58
197547303,1,4840.92,31.4429,-9.501439999999999,4896.45
197552521,1,4841.21,30.6958,-9.5165,4894.29
197557764,1,4841.47,29.9553,-9.50123,4892.14
197562957,1,4841.67,29.2316,-9.51639,4889.97
