Time,LSM_IMU_mx,LSM_IMU_my,LSM_IMU_mz,LSM_IMU_gx,LSM_IMU_gy,LSM_IMU_gz,LSM_IMU_ax,LSM_IMU_ay,LSM_IMU_az,gps_lat,gps_long,gps_alt,STE_ALT,STE_VEL,STE_ACC,STE_APO,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,TEMP,barometer_alt,sign,FSM_state,RSSI,Voltage,frequency,flap_extension
2022-5-7--11-25-32-429,-0.48,1.06,-0.42,0.55,0.94,-1.54,0.03,-0.07,1.04,41.49,-89.5,221267,0,0,0,0,0.1,0.09,1.07,21.97,206.02,NO SIGN,1,-68,7.71,434,0
2022-5-7--11-25-32-858,-0.48,1.11,-0.46,0.67,1.12,-1.72,0.04,-0.05,1.04,41.49,-89.5,221436,0,0,0,0,0.11,0.1,1.07,21.97,205.76,NO SIGN,1,-64,7.7,434,0
2022-5-7--11-25-33-288,-0.48,1.06,-0.41,0.48,1.01,-1.19,0.03,-0.07,1.03,41.49,-89.5,221659,0,0,0,0,0.11,0.08,1.07,21.97,205.67,NO SIGN,1,-64,7.76,434,0
2022-5-7--11-25-33-717,-0.48,1.11,-0.46,0.57,0.85,-0.72,0.04,-0.05,1.04,41.49,-89.5,222219,0,0,0,0,0.1,0.07,1.07,21.97,205.85,NO SIGN,1,-67,7.72,434,0
2022-5-7--11-25-34-147,-0.48,1.06,-0.41,0.23,1.03,-1.1,0.04,-0.05,1.04,41.49,-89.5,222447,0,0,0,0,0.11,0.08,1.07,21.97,205.85,NO SIGN,1,-67,7.77,434,0
2022-5-7--11-25-34-577,-0.48,1.12,-0.46,0.3,1.66,-1.24,0.04,-0.07,1.04,41.49,-89.5,222250,0,0,0,0,0.11,0.08,1.07,21.97,205.85,NO SIGN,1,-67,7.77,434,0
2022-5-7--11-25-35-7,-0.51,1.06,-0.42,0.16,0.94,-1.29,0.01,-0.05,1.03,41.49,-89.5,221543,0,0,0,0,0.11,0.09,1.07,21.97,205.76,NO SIGN,1,-64,7.74,434,0
2022-5-7--11-25-35-437,-0.48,1.11,-0.45,0.59,0.78,-1.3,0.02,-0.04,1.02,41.49,-89.5,221767,0,0,0,0,0.11,0.09,1.07,21.97,206.2,NO SIGN,1,-64,7.74,434,0
2022-5-7--11-25-35-866,-0.53,1.06,-0.45,0.24,0.68,-0.82,0.02,-0.06,1.04,41.49,-89.5,221345,0,0,0,0,0.11,0.09,1.07,21.97,206.02,NO SIGN,1,-66,7.76,434,0
2022-5-7--11-25-36-296,-0.48,1.06,-0.41,0.32,0.97,-1.44,0.03,-0.06,1.04,41.49,-89.5,220722,0,0,0,0,0.11,0.08,1.07,21.98,206.12,NO SIGN,1,-65,7.75,434,0
2022-5-7--11-25-36-726,-0.48,1.06,-0.42,0.74,1.1,-1.2,0.03,-0.05,1.04,41.49,-89.5,221801,0,0,0,0,0.11,0.08,1.07,21.98,206.03,NO SIGN,1,-65,7.72,434,0
2022-5-7--11-25-37-155,-0.48,1.11,-0.46,0.82,0.78,-1.67,0.02,-0.07,1.04,41.49,-89.5,218462,0,0,0,0,0.11,0.08,1.07,21.98,205.94,NO SIGN,1,-62,7.72,434,0
2022-5-7--11-25-37-585,-0.48,1.06,-0.42,0.26,1.04,-1.09,0.02,-0.05,1.04,41.49,-89.5,216495,0,0,0,0,0.1,0.08,1.07,21.98,206.03,NO SIGN,1,-54,7.76,434,0
2022-5-7--11-25-38-15,-0.48,1.11,-0.46,0.1,1,-1.73,0.02,-0.05,1.04,41.49,-89.5,216018,0,0,0,0,0.11,0.09,1.07,21.98,206.03,NO SIGN,1,-55,6.93,434,0
2022-5-7--11-25-38-445,-0.48,1.06,-0.42,0.71,1.03,-1.68,0.04,-0.06,1.04,41.49,-89.5,216784,0,0,0,0,0.12,0.07,1.06,21.98,206.03,NO SIGN,1,-59,7.74,434,0
2022-5-7--11-25-38-874,-0.48,1.06,-0.46,0.05,1.04,-1.09,0.03,-0.05,1.04,41.49,-89.5,219586,0,0,0,0,0.11,0.09,1.06,21.99,206.47,NO SIGN,1,-60,7.77,434,0
2022-5-7--11-25-39-304,-0.52,1.06,-0.46,0.17,1.06,-1.23,0.03,-0.04,1.03,41.49,-89.5,220409,0,0,0,0,0.11,0.09,1.07,21.98,206.03,NO SIGN,1,-60,7.77,434,0
2022-5-7--11-25-39-734,-0.49,1.05,-0.41,0.16,1.44,-0.86,0.04,-0.07,1.04,41.49,-89.5,222754,0,0,0,0,0.11,0.09,1.07,21.99,206.12,NO SIGN,1,-58,7.72,434,0
2022-5-7--11-25-40-164,-0.49,1.05,-0.42,0.17,0.8,-2.03,0.01,-0.06,1.03,41.49,-89.5,226320,0,0,0,0,0.12,0.09,1.06,21.99,206.38,NO SIGN,1,-56,7.75,434,0
2022-5-7--11-25-40-594,-0.49,1.11,-0.46,-0.04,0.94,-0.91,0.02,-0.05,1.04,41.49,-89.5,175768,0,0,0,0,0.12,0.09,1.07,21.99,206.04,NO SIGN,1,-58,7.72,434,0
2022-5-7--11-25-41-23,-0.52,1.07,-0.45,0.39,1.02,-1.27,0.02,-0.05,1.03,41.49,-89.5,173703,0,0,0,0,0.12,0.09,1.07,21.99,206.47,NO SIGN,1,-54,7.77,434,0
2022-5-7--11-25-41-455,-0.49,1.11,-0.45,-0.1,1.4,-0.71,0.03,-0.07,1.03,41.49,-89.5,173155,0,0,0,0,0.12,0.09,1.07,21.99,206.3,NO SIGN,1,-55,7.76,434,0
2022-5-7--11-25-41-883,-0.49,1.06,-0.41,0.56,0.87,-1.23,0.03,-0.05,1.03,41.49,-89.5,173986,0,0,0,0,0.1,0.08,1.07,21.99,206.56,NO SIGN,1,-55,7.72,434,0
2022-5-7--11-25-42-312,-0.49,1.06,-0.41,-0.35,1.09,-1.49,0,-0.06,1.03,41.49,-89.5,174583,0,0,0,0,0.1,0.11,1.07,21.99,205.95,NO SIGN,1,-50,7.76,434,0
2022-5-7--11-25-42-742,-0.53,1.06,-0.46,0.41,0.57,-1.66,0.05,-0.06,1.03,41.49,-89.5,175253,0,0,0,0,0.11,0.06,1.07,22,205.87,NO SIGN,1,-49,7.71,434,0
2022-5-7--11-25-43-173,-0.49,1.06,-0.42,0.38,0.51,-0.89,0.02,-0.06,1.04,41.49,-89.5,176296,0,0,0,0,0.11,0.09,1.07,22,205.96,NO SIGN,1,-50,7.75,434,0
2022-5-7--11-25-43-601,-0.53,1.06,-0.46,1.02,0.66,-2.2,0.01,-0.05,1.04,41.49,-89.5,178316,0,0,0,0,0.12,0.08,1.07,22,206.13,NO SIGN,1,-46,7.77,434,0
2022-5-7--11-25-44-31,-0.49,1.07,-0.42,-0.51,1.31,-1.4,0.02,-0.04,1.03,41.49,-89.5,180978,0,0,0,0,0.12,0.09,1.07,22,205.78,NO SIGN,1,-46,7.7,434,0
