serial,tick,ptype,state,v_batt,v_pyro,sense,v_apogee,v_main,ground_pres,ground_accel,accel_plus_g,accel_minus_g,acceleration,speed,height,crc
11047,394.23,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.6875,-0.9375,0,TRUE
11047,395.24,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.1875,-0.875,0,TRUE
11047,396.25,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.14,4.2,97659,-29,-29,10,-0.5,-0.8125,0,TRUE
11047,397.26,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.4375,-0.75,0,TRUE
11047,398.27,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.5,-1.0625,-1,TRUE
11047,399.28,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.25,-1.1875,-1,TRUE
11047,400.29,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.125,-1.125,-2,TRUE
11047,401.3,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.5,-1.125,-1,TRUE
11047,402.31,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.14,4.2,97658,-29,-29,10,-0.5,-1.125,-1,TRUE
11047,402.94,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,62.25,27.375,6,TRUE
11047,403.05,9,3,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,64.75,34.75,9,TRUE
11047,403.16,9,3,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,67.3125,42.3125,14,TRUE
11047,403.27,9,3,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,69.75,50.1875,19,TRUE
11047,403.38,9,3,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,71.625,58.25,26,TRUE
11047,403.49,9,3,4.1,4.19,0.00 0.00 0.00 4.20,4.14,4.14,97658,-29,-29,10,73.375,66.5625,33,TRUE
