Time,gps_lat,gps_long,gps_alt,TEMP,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,STE_ALT,STE_VEL,STE_ACC,STE_APO,BNO_YAW,BNO_PITCH,BNO_ROLL,IMU_gx,IMU_gy,IMU_gz,IMU_mx,IMU_my,IMU_mz,FSM_state,sign,RSSI,Voltage,frequency,flap_extension,pressure,Continuity1,Continuity2,Continuity3,Continuity4,TelemLatency,Pyro1,Pyro2,Pyro3,Pyro4,Pyro1Firing,Pyro2Firing,Pyro3Firing,Pyro4Firing,is_booster,sense_pyro
2024-3-23--13-50-36-49,37.10132,-97.44032,387.88,26.6875,1.05078,0.00781,-0.03906,,,,,1.54614,0.95801,-1.06409,1.25,-2.375,-0.75,-0.79932,1.20679,-2.04077,0,KD9ZMJ,-107,8.1875,,,1002.25,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-505,37.10132,-97.44032,387.88,26.67969,1.03125,0.01172,0.00391,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80042,1.20422,-2.04834,0,KD9ZMJ,-107,8.0625,,,1002.125,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-568,37.10132,-97.44032,387.88,26.67969,1.03125,0.01563,-0.02344,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80042,1.20422,-2.04834,0,KD9ZMJ,-107,8.0625,,,1002.0625,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-633,37.10132,-97.44032,387.88,26.67969,1.01953,0.00781,-0.03906,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80042,1.20422,-2.04834,0,KD9ZMJ,-107,8.0625,,,1002.25,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-700,37.10132,-97.44032,387.88,26.67969,1.04297,-0.00781,-0.04687,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80042,1.20422,-2.04834,0,KD9ZMJ,-107,8.0625,,,1002.125,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-765,37.10132,-97.44032,387.88,26.6875,1.03906,-0.01563,-0.05469,,,,,1.54614,0.95801,-1.06409,1.25,-2.25,-0.75,-0.80261,1.20386,-2.03687,0,KD9ZMJ,-106,8.0625,,,1002.25,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-829,37.10132,-97.44032,387.88,26.6875,1.04688,0.01172,-0.06641,,,,,1.54614,0.95801,-1.06409,1.25,-2.25,-0.75,-0.80261,1.20386,-2.03687,0,KD9ZMJ,-106,8.0625,,,1002.375,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-894,37.10132,-97.44032,387.88,26.6875,1.03906,0.01563,-0.04297,,,,,1.54578,0.93152,-1.03772,1.25,-2.25,-0.75,-0.80261,1.20386,-2.03687,0,KD9ZMJ,-106,8.0625,,,1002.25,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-36-961,37.10132,-97.44032,387.88,26.6875,1.01563,-0.00391,-0.01563,,,,,1.54578,0.93152,-1.03772,1.25,-2.25,-0.75,-0.80261,1.20386,-2.03687,0,KD9ZMJ,-106,8.0625,,,1002.25,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-37-154,37.10132,-97.44032,387.88,26.6875,1.02344,0.01563,-0.00391,,,,,1.54578,0.93152,-1.03772,1.375,-2.5,-0.75,-0.79382,1.20544,-2.03674,0,KD9ZMJ,-102,8.25,,,1002.1875,0,1.79687,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
